time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0],, fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X," X,", X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
1675,0,0,1,10101001111,0,1,0,1,0,1,0,0,1,1,1,1,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,75,"75,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
1676,0,0,1,10101000100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-114,"-114,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0, 
1677,0,0,1,10100111000,0,1,0,1,0,0,1,1,1,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-139,"-139,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1, 
1678,0,0,1,10100101101,0,1,0,1,0,0,1,0,1,1,0,1,0,0,205,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,66,"66,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
1679,0,0,1,10100100001,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,176,"176,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0, 
1680,0,0,1,10100010110,0,1,0,1,0,0,0,1,0,1,1,0,0,0,-198,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,-34,"-34,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0, 
1681,0,0,1,10100001010,0,1,0,1,0,0,0,0,1,0,1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,-202,"-202,",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0, 
1682,0,0,1,10011111110,0,1,0,0,1,1,1,1,1,1,1,0,0,0,162,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,17,"17,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1, 
1683,0,0,1,10011110010,0,1,0,0,1,1,1,1,0,0,1,0,0,0,-18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,205,"205,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1, 
1684,0,0,1,10011100110,0,1,0,0,1,1,1,0,0,1,1,0,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-1,"-1,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
1685,0,0,1,10011011010,0,1,0,0,1,1,0,1,1,0,1,0,0,0,-72,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,-174,"-174,",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0, 
1686,0,0,1,10011001111,0,1,0,0,1,1,0,0,1,1,1,1,0,0,117,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,-42,"-42,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
1687,0,0,1,10011000011,0,1,0,0,1,1,0,0,0,0,1,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,103,"103,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1, 
1688,0,0,1,10010110111,0,1,0,0,1,0,1,1,0,1,1,1,0,0,-116,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,111,"111,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1, 
1689,0,0,1,10010101011,0,1,0,0,1,0,1,0,1,0,1,1,0,0,-149,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,-40,"-40,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0, 
1690,0,0,1,10010011111,0,1,0,0,1,0,0,1,1,1,1,1,0,0,111,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,-186,"-186,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0, 
1691,0,0,1,10010010010,0,1,0,0,1,0,0,1,0,0,1,0,0,0,178,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,38,"38,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0, 
1692,0,0,1,10010000110,0,1,0,0,1,0,0,0,0,1,1,0,0,0,-70,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,227,"227,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1, 
1693,0,0,1,10001111010,0,1,0,0,0,1,1,1,1,0,1,0,0,0,-164,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,-43,"-43,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1, 
1694,0,0,1,10001101110,0,1,0,0,0,1,1,0,1,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-218,"-218,",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0, 
1695,0,0,1,10001100010,0,1,0,0,0,1,1,0,0,0,1,0,0,0,155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,35,"35,",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1, 
1696,0,0,1,10001010110,0,1,0,0,0,1,0,1,0,1,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,160,"160,",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0, 
1697,0,0,1,10001001010,0,1,0,0,0,1,0,0,1,0,1,0,0,0,-145,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,21,"21,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1, 
1698,0,0,1,10000111101,0,1,0,0,0,0,1,1,1,1,0,1,0,0,-100,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,-96,"-96,",1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0, 
1699,0,0,1,10000110001,0,1,0,0,0,0,1,1,0,0,0,1,0,0,136,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-106,"-106,",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0, 
1700,0,0,1,10000100101,0,1,0,0,0,0,1,0,0,1,0,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,57,"57,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1, 
1701,0,0,1,10000011001,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-75,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,214,"214,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0, 
1702,0,0,1,10000001100,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,-60,"-60,",1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0, 
1703,0,0,1,10000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,-229,"-229,",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1, 
1704,0,0,1,1111110100,0,0,1,1,1,1,1,1,0,1,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,66,"66,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
1705,0,0,1,1111101000,0,0,1,1,1,1,1,0,1,0,0,0,0,0,-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,221,"221,",0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1, 
1706,0,0,1,1111011011,0,0,1,1,1,1,0,1,1,0,1,1,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-53,"-53,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1, 
1707,0,0,1,1111001111,0,0,1,1,1,1,0,0,1,1,1,1,0,0,-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-160,"-160,",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0, 
1708,0,0,1,1111000011,0,0,1,1,1,1,0,0,0,0,1,1,0,0,181,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,-10,"-10,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0, 
1709,0,0,1,1110110110,0,0,1,1,1,0,1,1,0,1,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,95,"95,",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1, 
1710,0,0,1,1110101010,0,0,1,1,1,0,1,0,1,0,1,0,0,0,-144,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,97,"97,",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
1711,0,0,1,1110011110,0,0,1,1,1,0,0,1,1,1,1,0,0,0,-94,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,-77,"-77,",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1, 
1712,0,0,1,1110010010,0,0,1,1,1,0,0,1,0,0,1,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,-179,"-179,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1, 
1713,0,0,1,1110000101,0,0,1,1,1,0,0,0,0,1,0,1,0,0,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,81,"81,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
1714,0,0,1,1101111001,0,0,1,1,0,1,1,1,1,0,0,1,0,0,-38,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,211,"211,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1, 
1715,0,0,1,1101101101,0,0,1,1,0,1,1,0,1,1,0,1,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,-84,"-84,",1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0, 
1716,0,0,1,1101100001,0,0,1,1,0,1,1,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-200,"-200,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0, 
1717,0,0,1,1101010101,0,0,1,1,0,1,0,1,0,1,0,1,0,0,236,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,66,"66,",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0, 
1718,0,0,1,1101001001,0,0,1,1,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,157,"157,",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1, 
1719,0,0,1,1100111101,0,0,1,1,0,0,1,1,1,1,0,1,0,0,-205,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,13,"13,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
1720,0,0,1,1100110000,0,0,1,1,0,0,1,1,0,0,0,0,0,0,-19,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,-124,"-124,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0, 
1721,0,0,1,1100100100,0,0,1,1,0,0,1,0,0,1,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-99,"-99,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1, 
1722,0,0,1,1100011000,0,0,1,1,0,0,0,1,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,106,"106,",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0, 
1723,0,0,1,1100001100,0,0,1,1,0,0,0,0,1,1,0,0,0,0,-79,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,151,"151,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1, 
1724,0,0,1,1100000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-132,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,-102,"-102,",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0, 
1725,0,0,1,1011110101,0,0,1,0,1,1,1,1,0,1,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,-177,"-177,",1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1, 
1726,0,0,1,1011101001,0,0,1,0,1,1,1,0,1,0,0,1,0,0,202,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,84,"84,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0, 
1727,0,0,1,1011011101,0,0,1,0,1,1,0,1,1,1,0,1,0,0,-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,180,"180,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0, 
1728,0,0,1,1011010001,0,0,1,0,1,1,0,1,0,0,0,1,0,0,-235,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,-42,"-42,",1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0, 
1729,0,0,1,1011000101,0,0,1,0,1,1,0,0,0,1,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,-163,"-163,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1, 
1730,0,0,1,1010111001,0,0,1,0,1,0,1,1,1,0,0,1,0,0,211,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,-18,"-18,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0, 
1731,0,0,1,1010101110,0,0,1,0,1,0,1,0,1,1,1,0,0,0,-9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,151,"151,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1, 
1732,0,0,1,1010100010,0,0,1,0,1,0,1,0,0,0,1,0,0,0,-147,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,75,"75,",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
1733,0,0,1,1010010111,0,0,1,0,1,0,0,1,0,1,1,1,0,0,-21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,-138,"-138,",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0, 
1734,0,0,1,1010001011,0,0,1,0,1,0,0,0,1,0,1,1,0,0,77,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,-118,"-118,",1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0, 
1735,0,0,1,1010000000,0,0,1,0,1,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,119,"119,",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1, 
1736,0,0,1,1001110100,0,0,1,0,0,1,1,1,0,1,0,0,0,0,-40,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,144,"144,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0, 
1737,0,0,1,1001101001,0,0,1,0,0,1,1,0,1,0,0,1,0,0,-196,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,-71,"-71,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1, 
1738,0,0,1,1001011110,0,0,1,0,0,1,0,1,1,1,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-165,"-165,",1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1, 
1739,0,0,1,1001010010,0,0,1,0,0,1,0,1,0,0,1,0,0,0,237,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,22,"22,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0, 
1740,0,0,1,1001000111,0,0,1,0,0,1,0,0,0,1,1,1,0,0,-44,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,182,"182,",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0, 
1741,0,0,1,1000111100,0,0,1,0,0,0,1,1,1,1,0,0,0,0,-202,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,23,"23,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1, 
1742,0,0,1,1000110001,0,0,1,0,0,0,1,1,0,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,-190,"-190,",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0, 
1743,0,0,1,1000100110,0,0,1,0,0,0,1,0,0,1,1,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-51,"-51,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1, 
1744,0,0,1,1000011011,0,0,1,0,0,0,0,1,1,0,1,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,172,"172,",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0, 
1745,0,0,1,1000010000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-94,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,82,"82,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0, 
1746,0,0,1,1000000101,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,-128,"-128,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
1747,0,0,1,111111011,0,0,0,1,1,1,1,1,1,0,1,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-111,"-111,",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1, 
1748,0,0,1,111110000,0,0,0,1,1,1,1,1,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,63,"63,",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1, 
1749,0,0,1,111100101,0,0,0,1,1,1,1,0,0,1,0,1,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,150,"150,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0, 
1750,0,0,1,111011011,0,0,0,1,1,1,0,1,1,0,1,1,0,0,-218,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,-13,"-13,",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1, 
1751,0,0,1,111010001,0,0,0,1,1,1,0,1,0,0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-200,"-200,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0, 
1752,0,0,1,111000110,0,0,0,1,1,1,0,0,0,1,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,-18,"-18,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0, 
1753,0,0,1,110111100,0,0,0,1,1,0,1,1,1,1,0,0,0,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,226,"226,",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0, 
1754,0,0,1,110110010,0,0,0,1,1,0,1,1,0,0,1,0,0,0,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,24,"24,",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0, 
1755,0,0,1,110101000,0,0,0,1,1,0,1,0,1,0,0,0,0,0,-42,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,-197,"-197,",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
1756,0,0,1,110011110,0,0,0,1,1,0,0,1,1,1,1,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,-40,"-40,",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0, 
1757,0,0,1,110010100,0,0,0,1,1,0,0,1,0,1,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,135,"135,",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1, 
1758,0,0,1,110001010,0,0,0,1,1,0,0,0,1,0,1,0,0,0,-96,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,81,"81,",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
1759,0,0,1,110000000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,-54,"-54,",1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0, 
1760,0,0,1,101110111,0,0,0,1,0,1,1,1,0,1,1,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-151,"-151,",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1, 
1761,0,0,1,101101101,0,0,0,1,0,1,1,0,1,1,0,1,0,0,165,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,13,"13,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1, 
1762,0,0,1,101100100,0,0,0,1,0,1,1,0,0,1,0,0,0,0,-57,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,213,"213,",0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1, 
1763,0,0,1,101011010,0,0,0,1,0,1,0,1,1,0,1,0,0,0,-182,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,-1,"-1,",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
1764,0,0,1,101010001,0,0,0,1,0,1,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-237,"-237,",1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1, 
1765,0,0,1,101001000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,6,"6,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0, 
1766,0,0,1,100111111,0,0,0,1,0,0,1,1,1,1,1,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,200,"200,",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0, 
1767,0,0,1,100110110,0,0,0,1,0,0,1,1,0,1,1,0,0,0,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,14,"14,",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0, 
1768,0,0,1,100101101,0,0,0,1,0,0,1,0,1,1,0,1,0,0,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,-128,"-128,",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
1769,0,0,1,100100100,0,0,0,1,0,0,1,0,0,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-68,"-68,",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0, 
1770,0,0,1,100011100,0,0,0,1,0,0,0,1,1,1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,55,"55,",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1, 
1771,0,0,1,100010011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,147,"147,",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1, 
1772,0,0,1,100001011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-153,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,-22,"-22,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0, 
1773,0,0,1,100000011,0,0,0,1,0,0,0,0,0,0,1,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,-216,"-216,",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0, 
1774,0,0,1,11111010,0,0,0,0,1,1,1,1,1,0,1,0,0,0,171,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,19,"19,",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1, 
1775,0,0,1,11110010,0,0,0,0,1,1,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,237,"237,",0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1, 
1776,0,0,1,11101010,0,0,0,0,1,1,1,0,1,0,1,0,0,0,-187,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,-23,"-23,",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1, 
